Function,Node,CPU Usage % ,RAM Usage %,Policy,Execution Time (s),Execution Mode
func-1,ssh_node_3,1.01529,26.2706,Least Used,1.3928,Pre-warmed
func-2,ssh_node_3,---,---,Warmed Override,1.1252,Warmed
func-3,ssh_node_1,1.01677,26.1148,Least Used,1.3496,Cold
func-4,ssh_node_3,1.01809,26.0614,Least Used,1.3667,Cold
func-5,ssh_node_1,---,---,Warmed Override,1.1257,Warmed
func-6,ssh_node_4,1.01935,25.5842,Least Used,1.3510,Cold
func-7,ssh_node_2,1.02052,25.5572,Least Used,1.3530,Cold
func-8,ssh_node_1,---,---,Warmed Override,1.1254,Warmed
func-9,ssh_node_2,1.02172,25.7347,Least Used,1.3665,Cold
func-10,ssh_node_2,1.02332,26.0138,Least Used,1.3776,Cold
func-11,ssh_node_3,---,---,Warmed Override,1.1220,Warmed
func-12,ssh_node_4,1.02458,25.7921,Least Used,1.3736,Cold
func-13,ssh_node_4,1.02583,26.0937,Least Used,1.3698,Cold
func-14,ssh_node_2,---,---,Warmed Override,1.1298,Warmed
func-15,ssh_node_3,1.02704,26.2909,Least Used,1.3598,Cold
func-16,ssh_node_1,1.02862,26.4682,Least Used,1.3873,Pre-warmed
func-17,ssh_node_4,---,---,Warmed Override,1.1202,Warmed
func-18,ssh_node_2,1.0299,26.4691,Least Used,1.3590,Cold
func-19,ssh_node_1,1.03104,26.5369,Least Used,1.3770,Cold
func-20,ssh_node_1,---,---,Warmed Override,1.1266,Warmed
